character_name,character_url
Irulan Corrino/2021 film,https://dune.fandom.com/wiki/Irulan_Corrino/2021_film
Jamis/1984 film,https://dune.fandom.com/wiki/Jamis/1984_film
Jamis/2000 miniseries,https://dune.fandom.com/wiki/Jamis/2000_miniseries
Jamis/2021 film,https://dune.fandom.com/wiki/Jamis/2021_film
Javicco Corrino,https://dune.fandom.com/wiki/Javicco_Corrino
Javicco Corrino/2021 film,https://dune.fandom.com/wiki/Javicco_Corrino/2021_film
Jen,https://dune.fandom.com/wiki/Jen
Jesse Linkam,https://dune.fandom.com/wiki/Jesse_Linkam
Jessica Atreides/1984 film,https://dune.fandom.com/wiki/Jessica_Atreides/1984_film
Jessica Atreides/2000 miniseries,https://dune.fandom.com/wiki/Jessica_Atreides/2000_miniseries
Jessica Atreides/2021 film,https://dune.fandom.com/wiki/Jessica_Atreides/2021_film
Category:Characters by job,https://dune.fandom.com/wiki/Category:Characters_by_job
Kaleff/1984 film,https://dune.fandom.com/wiki/Kaleff/1984_film
Kasha Jinjo,https://dune.fandom.com/wiki/Kasha_Jinjo
Keiran Atreides,https://dune.fandom.com/wiki/Keiran_Atreides
Kieuemo,https://dune.fandom.com/wiki/Kieuemo
Kinet,https://dune.fandom.com/wiki/Kinet
Kinet/1984 film,https://dune.fandom.com/wiki/Kinet/1984_film
Kinet/2021 film,https://dune.fandom.com/wiki/Kinet/2021_film
Korba/1984 film,https://dune.fandom.com/wiki/Korba/1984_film
Korba/2000 miniseries,https://dune.fandom.com/wiki/Korba/2000_miniseries
Lady Hagal/2021 film,https://dune.fandom.com/wiki/Lady_Hagal/2021_film
Ledden Pook,https://dune.fandom.com/wiki/Ledden_Pook
Leto Atreides I/1984 film,https://dune.fandom.com/wiki/Leto_Atreides_I/1984_film
Leto Atreides I/2000 miniseries,https://dune.fandom.com/wiki/Leto_Atreides_I/2000_miniseries
Leto Atreides I/2021 film,https://dune.fandom.com/wiki/Leto_Atreides_I/2021_film
Leto Atreides II the Elder/2000 miniseries,https://dune.fandom.com/wiki/Leto_Atreides_II_the_Elder/2000_miniseries
Leto Atreides II/2000 miniseries,https://dune.fandom.com/wiki/Leto_Atreides_II/2000_miniseries
Leto Atreides II/2021 film,https://dune.fandom.com/wiki/Leto_Atreides_II/2021_film
Lichna/2000 miniseries,https://dune.fandom.com/wiki/Lichna/2000_miniseries
Liet-Kynes/1984 film,https://dune.fandom.com/wiki/Liet-Kynes/1984_film
Liet-Kynes/2000 miniseries,https://dune.fandom.com/wiki/Liet-Kynes/2000_miniseries
Liet-Kynes/2021 film,https://dune.fandom.com/wiki/Liet-Kynes/2021_film
Lila,https://dune.fandom.com/wiki/Lila
Lingar Bewt,https://dune.fandom.com/wiki/Lingar_Bewt
Lingar Bewt/2000 miniseries,https://dune.fandom.com/wiki/Lingar_Bewt/2000_miniseries
Lord Hagal/2021 film,https://dune.fandom.com/wiki/Lord_Hagal/2021_film
Category:Male characters,https://dune.fandom.com/wiki/Category:Male_characters
Manri,https://dune.fandom.com/wiki/Manri
Maometh,https://dune.fandom.com/wiki/Maometh
Mapes/1984 film,https://dune.fandom.com/wiki/Mapes/1984_film
Mapes/2000 miniseries,https://dune.fandom.com/wiki/Mapes/2000_miniseries
Mapes/2021 film,https://dune.fandom.com/wiki/Mapes/2021_film
Margot Fenring/2021 film,https://dune.fandom.com/wiki/Margot_Fenring/2021_film
Martin,https://dune.fandom.com/wiki/Martin
Marty,https://dune.fandom.com/wiki/Marty
Marty/XD,https://dune.fandom.com/wiki/Marty/XD
Mikaela,https://dune.fandom.com/wiki/Mikaela
Muriz/2000 miniseries,https://dune.fandom.com/wiki/Muriz/2000_miniseries
Namri/2000 miniseries,https://dune.fandom.com/wiki/Namri/2000_miniseries
Natalya Arat Corrino,https://dune.fandom.com/wiki/Natalya_Arat_Corrino
Category:Characters by nationality,https://dune.fandom.com/wiki/Category:Characters_by_nationality
Nazir,https://dune.fandom.com/wiki/Nazir
Neshou,https://dune.fandom.com/wiki/Neshou
Nine Historians,https://dune.fandom.com/wiki/Nine_Historians
Orla Richese,https://dune.fandom.com/wiki/Orla_Richese
Orlop/1984 film,https://dune.fandom.com/wiki/Orlop/1984_film
Orry Atreides/2021 film,https://dune.fandom.com/wiki/Orry_Atreides/2021_film
